
tcp_464, Failed, Object 'tcp_464' already exists. Use operation: 'update' to change it.
udp_123, Failed, Object 'udp_123' already exists. Use operation: 'update' to change it.
udp_389, Failed, Object 'udp_389' already exists. Use operation: 'update' to change it.
udp_464, Failed, Object 'udp_464' already exists. Use operation: 'update' to change it.
udp_636, Failed, Object 'udp_636' already exists. Use operation: 'update' to change it.
udp_88, Failed, Object 'udp_88' already exists. Use operation: 'update' to change it.
udp_138, Failed, Object 'udp_138' already exists. Use operation: 'update' to change it.
tcp_135, Failed, Object 'tcp_135' already exists. Use operation: 'update' to change it.
tcp_139, Failed, Object 'tcp_139' already exists. Use operation: 'update' to change it.
tcp_3268, Failed, Object 'tcp_3268' already exists. Use operation: 'update' to change it.
tcp_445, Failed, Object 'tcp_445' already exists. Use operation: 'update' to change it.
tcp_88, Failed, Object 'tcp_88' already exists. Use operation: 'update' to change it.
tcp_123, Successful, Object 'tcp_123' successfully added
tcp_137, Failed, Object 'tcp_137' already exists. Use operation: 'update' to change it.
tcp_3269, Failed, Object 'tcp_3269' already exists. Use operation: 'update' to change it.
tcp_389, Failed, Object 'tcp_389' already exists. Use operation: 'update' to change it.
tcp_53, Failed, Object 'tcp_53' already exists. Use operation: 'update' to change it.
tcp_636, Failed, Object 'tcp_636' already exists. Use operation: 'update' to change it.
tcp_9389, Failed, Object 'tcp_9389' already exists. Use operation: 'update' to change it.
tcp_24158, Successful, Object 'tcp_24158' successfully added
udp_137, Successful, Object 'udp_137' successfully added
udp_53, Failed, Object 'udp_53' already exists. Use operation: 'update' to change it.
udp_445, Failed, Object 'udp_445' already exists. Use operation: 'update' to change it.
tcp_1025, Failed, Object 'tcp_1025' already exists. Use operation: 'update' to change it.
tcp_59001, Failed, Object 'tcp_59001' already exists. Use operation: 'update' to change it.
tcp_80, Failed, Object 'tcp_80' already exists. Use operation: 'update' to change it.
tcp_21, Failed, Object 'tcp_21' already exists. Use operation: 'update' to change it.
udp_4011, Failed, Object 'udp_4011' already exists. Use operation: 'update' to change it.
udp_69, Successful, Object 'udp_69' successfully added
udp_67, Failed, Object 'udp_67' already exists. Use operation: 'update' to change it.
udp_68, Successful, Object 'udp_68' successfully added
tcp_443, Failed, Object 'tcp_443' already exists. Use operation: 'update' to change it.
tcp_7443, Failed, Object 'tcp_7443' already exists. Use operation: 'update' to change it.
tcp_9443, Failed, Object 'tcp_9443' already exists. Use operation: 'update' to change it.
tcp_1433, Failed, Object 'tcp_1433' already exists. Use operation: 'update' to change it.
tcp_2107, Failed, Object 'tcp_2107' already exists. Use operation: 'update' to change it.
tcp_2953, Successful, Object 'tcp_2953' successfully added
tcp_2954, Successful, Object 'tcp_2954' successfully added
tcp_3443, Successful, Object 'tcp_3443' successfully added
tcp_7510, Successful, Object 'tcp_7510' successfully added
udp_162, Failed, Object 'udp_162' already exists. Use operation: 'update' to change it.
tcp_7000, Failed, Object 'tcp_7000' already exists. Use operation: 'update' to change it.
tcp_25, Failed, Object 'tcp_25' already exists. Use operation: 'update' to change it.
tcp_22, Failed, Object 'tcp_22' already exists. Use operation: 'update' to change it.
tcp_23, Failed, Object 'tcp_23' already exists. Use operation: 'update' to change it.
tcp_3389, Failed, Object 'tcp_3389' already exists. Use operation: 'update' to change it.
tcp_8080, Failed, Object 'tcp_8080' already exists. Use operation: 'update' to change it.
tcp_5510, Failed, Object 'tcp_5510' already exists. Use operation: 'update' to change it.
tcp_5522, Failed, Object 'tcp_5522' already exists. Use operation: 'update' to change it.
tcp_3000-5000, Failed, Object 'tcp_3000-5000' already exists. Use operation: 'update' to change it.
tcp_3241, Successful, Object 'tcp_3241' successfully added
tcp_3243, Successful, Object 'tcp_3243' successfully added
tcp_3641, Successful, Object 'tcp_3641' successfully added
